CNTRY_NAME,Country Code,Methane,CO2,NO2
Slovak Republic,SVK,4074.574065,32764.645,2778.399906
Slovenia,SVN,2821.744557,14781.677,1165.98378
Solomon Islands,SLB,1449.1548,198.018,2656.013598
Somalia,SOM,16205.862,608.722,4923.234
South Africa,ZAF,63155.98842,468770.945,21148.53368
South Asia,SAS,951304.979,2284078.958,307867.544
Spain,ESP,37208.10558,264779.402,20873.14001
Sri Lanka,LKA,11863.518,16032.124,2174.257602
St. Kitts and Nevis,KNA,30.056136,220.02,14.62766496
St. Lucia,LCA,43.716282,407.037,34.90848
St. Vincent and the Grenadines,VCT,39.864762,253.023,18.43006482
Sudan,SDN,96531.474,14642.331,84959.1456
Suriname,SUR,709.38756,2258.872,273.267945
Sweden,SWE,10304.22315,47047.61,5221.579548
Switzerland,CHE,4900.250754,37773.767,2385.446601
Syrian Arab Republic,SYR,12782.844,44730.066,6000.78036
Tajikistan,TJK,5407.57461,2933.6,1848.117292
Tanzania,TZA,27993.9,9545.201,13206.4092
Thailand,THA,106499.22,296597.961,30832.94658
Togo,TGO,5342.6682,2486.226,3048.651786
Tonga,TON,61.449186,106.343,22.1583474
Trinidad and Tobago,TTO,14788.572,45419.462,281.3904906
Tunisia,TUN,7647.1848,27003.788,2962.607442
Turkey,TUR,78852.936,329560.624,35611.7088
Turkmenistan,TKM,22008.5695,64872.897,4923.871936
Turks and Caicos Islands,TCA,6.1254978,198.018,0.665275314
Tuvalu,TUV,3.3655614,11.001,1.255510044
Uganda,UGA,21160.818,4070.37,14931.72288
Ukraine,UKR,68060.93652,295791.221,22549.44469
United Arab Emirates,ARE,26119.548,176386.367,2412.98544
United Kingdom,GBR,58980.03122,468572.927,25334.91682
United States,USA,499809.345,5119436.361,288877.995
Uruguay,URY,19548.606,8694.457,8105.37594
Uzbekistan,UZB,47333.36345,115814.861,13191.52504
Vanuatu,VUT,254.15952,113.677,108.6627624
Venezuela,VEN,58198.854,198766.068,16136.12868
Vietnam,VNM,113563.74,142220.928,34494.258
Yemen Rep.,YEM,8939.9226,18668.697,3671.96736
Zambia,ZMB,6551.3784,3667,8394.50922
Zimbabwe,ZWE,8588.91,7792.375,4270.81854
